"seq_soft","seq_hard","cfda","windows","om_hard","om_soft","lcs_hard","lcs_soft","index"
NA,NA,"4.76884","4.72804",NA,NA,NA,NA,1
"4.81350","4.81394","4.77463","4.73387","4.90443","4.91292","4.89798","4.91664",2
"4.83420","4.81556","4.74526","4.71509","4.87663","4.88068","4.87795","4.86337",3
"4.89839","4.80307","4.67905","4.68482","4.84654","4.91273","4.85524","4.89727",4
"4.85654","4.80399","4.67459","4.64142","4.81246","4.90736","4.81541","4.90617",5
"4.87562","4.79503","4.67190","4.63503","4.82609","4.86938","4.82488","4.91755",6
"4.78878","4.81474","4.65022","4.62923","4.83361","4.86488","4.83062","4.78880",7
"4.76358","4.80503","4.65938","4.63152","4.82900","4.79991","4.80315","4.74451",8
"4.74097","4.80342","4.65593","4.63388","4.80676","4.73116","4.80547","4.67797",9
"4.69996","4.80705","4.65854","4.62683","4.82672","4.72464","4.83493","4.74646",10
"4.71722","4.79005","4.68441","4.64921","4.81058","4.67357","4.81992","4.67515",11
"4.70524","4.79623","4.68012","4.64960","4.80683","4.67588","4.81121","4.65657",12
"4.74316","4.77730","4.68962","4.65749","4.78961","4.75487","4.79340","4.77609",13
"4.70666","4.76312","4.70799","4.64781","4.77599","4.76192","4.77112","4.76596",14
NA,"4.75569","4.70295","4.66656","4.74731",NA,"4.74597",NA,15
NA,"4.74726","4.70377","4.67884","4.74820",NA,"4.73751",NA,16
NA,"4.74543","4.69677",NA,"4.73100",NA,"4.72705",NA,17
NA,"4.74550","4.69766",NA,"4.73608",NA,"4.72182",NA,18
NA,"4.73639","4.69246",NA,"4.72622",NA,"4.71580",NA,19
NA,"4.72725","4.69873",NA,"4.70213",NA,"4.70889",NA,20
NA,"4.73278","4.69508",NA,"4.70288",NA,"4.70482",NA,21
NA,"4.73402","4.69056",NA,"4.72289",NA,"4.71096",NA,22
NA,"4.74228","4.68957",NA,"4.73001",NA,"4.71836",NA,23
NA,"4.74327","4.68528",NA,"4.73092",NA,"4.70685",NA,24
NA,"4.73408","4.69441",NA,"4.72093",NA,"4.71562",NA,25
